"experimentPhase"	"trialnum"	"subject"	"task"	"noisePercent"	"targetLeftRightIfOne"	"streamsPerRing"	"baseAngleCWfromEast"	"resp0"	"button0"	"answer0"	"correct0"	"whichStream0"	"whichRespCue0"	"responsePosRelative0"	"streamLtrSequence0"	"streamLtrSequence1"	"streamLtrSequence2"	"streamLtrSequence3"	"streamLtrSequence4"	"streamLtrSequence5"	"streamLtrSequence6"	"streamLtrSequence7"	"timingBlips"	"correctPos"	"responsePos"
"main"	81	"charlieConf "	" oneCued "	0	" right "	8	225	"S "	0	"S "	1	6	0	0	"PTZMELGUOAQJYKFBSIHDCNVRWX"	"MSZIJTNXCYOARFLDUEBVQGPWHK"	"LVHDQXOEGABJINTPFWRKUMCYZS"	"TRHGCWXEKDPOJLBQVMNSUIZAYF"	"ZLMRDCOBXENSYQTGJKPWHVIFAU"	"HVORXUPKBCJTSMIGDZYANFEQWL"	"JYNPVQXOESLWURMZFKDCHIGTBA"	"BQSHLVMJXNOCTYRIFZAKGUDWPE"	0	9	9
"main"	82	"charlieConf "	" oneCued "	0	" right "	8	0	"G "	0	"G "	1	7	0	0	"BZUYPMHVKTRONXICLFQJWEGADS"	"ARFDHQVEXSBYPIMKOLZUTWJNCG"	"FCRGJDAQZSNEPBKMITYLHOXWVU"	"KGQABWDTEYIPOXFNHCZLUJSVMR"	"LKRSGPEJDMOUYNFZCWTIQHVXBA"	"KAXNQJCWUIYGPESVZMOBHDLTFR"	"CGKBDQIYWORTFXEVHNLSPUAZMJ"	"VSUKEJHGXLQMWZBICOTRDNAFPY"	0	7	7
"main"	84	"charlieConf "	" oneCued "	0	" right "	8	225	"E "	0	"E "	1	2	0	0	"XUWYODFVJQHZLNSPGEIABMCTKR"	"HASTNOXVZCQYPIEMBULDWKRFGJ"	"TDHBXFJLEPWAGNKVZMIQORCUSY"	"KURLXGOAJIPHCDZTSVNWEBMFQY"	"LNUXEMADHQWZCOBIYSVTJGFPRK"	"BEPHNOULVCWRTFZAKMGIYSJQDX"	"TXIEZPCGVDLMQFRHBNWOKSJYUA"	"WDGLRIXOSEZPMUAKTVNBHCQYJF"	0	8	8
"main"	89	"charlieConf "	" oneCued "	0	" right "	8	270	"C "	0	"C "	1	2	0	0	"GWHAXZRYDLVQIKMJUOTNBCPFSE"	"CPFDUAHJOWZQIVMKRTXSNBLEGY"	"XBVOSHZWATCRLEKJGYMNPFDQIU"	"YPVHICKBZGLJQOEUWSAFNMTXDR"	"YWNTSQPHZJDGXEULCAIKROMBVF"	"BXRYHUOGILNMQZDSEAFTVJWKPC"	"FBXOCUVHJEIYANDGWLSTRMZPKQ"	"INXPTLFZBDJGOSCAQRUHKYVWEM"	0	10	10
"main"	93	"charlieConf "	" oneCued "	0	" right "	8	45	"O "	0	"V "	0	2	0	1	"ETKFVCPSZYNJGLHMIRBOWAUQXD"	"XETKWBVFHLYDZCOJGIAMUPNQSR"	"WLASQCKHVOZFBXUIMGJREDPTYN"	"NXICVOGRZPFDHTQWEBAKLMYUSJ"	"BDSRQXMEGKONZVWPITYCUFLHJA"	"MSGBDHVIAUJWCKOLNTYQFZXEPR"	"CANQKGOELJHWSFUPXRIYTDZBVM"	"XQGZKLIUDRVTOPWMYNHSEJACBF"	0	8	9
"main"	94	"charlieConf "	" oneCued "	0	" right "	8	180	"O "	0	"I "	0	3	0	3	"JBACFRMTKQELZSNXOWIYVHPUGD"	"BSPECJZNUHAQDFKGIMXYOLWRTV"	"BGJKTUQRHEFWYDLXSZVAOIMPNC"	"KTJFCZNPIQVOBMWHSYDEGUALXR"	"QXMDYZCFUINLOBERSJWKTGPAVH"	"MSAFQJEBGVYNUHXOTCIDZPKWRL"	"WPHNROGXZTJYBCFVLDISMQKEAU"	"HCAQVEOIKNXTPLFSGJYZUMWBRD"	0	8	11
"main"	95	"charlieConf "	" oneCued "	0	" right "	8	90	"M "	0	"R "	0	4	0	1	"BCAQSVUDFOTKHXNYWMPREJGZIL"	"NRIQAMDGCBOKWYEFSXJPLZUTVH"	"IRCLBTGYWMAFQKDPHZJNXOESUV"	"BHLOGNDMUVIYACJFSZTXQKERWP"	"EJZWVGCRMYHUKATBDXISFNLPQO"	"NIBADCRSPQGJVXZHKWTFEYMLUO"	"QTBCNGLHYPJUOSXFWVEKRMIDAZ"	"WLZKSPMCNHGIFBXVJDOTRYUQEA"	0	7	8
"main"	98	"charlieConf "	" oneCued "	0	" right "	8	270	"C "	0	"B "	0	2	0	1	"MVGBPNIAJFLSRHWTZKDCUOQYXE"	"UFPKLCMHNDXJWSBRTOIEAYGQVZ"	"MAKGLSNOJBCWVHDEFQZIYXTRPU"	"OFVJWQCETUYLXZIHPBKSGARDMN"	"ATCFDMKLYPISVQWBZRONGEXJHU"	"FOVHNGSJIWAZXBKEYQCRLMUTDP"	"TAEQJKNSWZBHOUXFGICLDMRYVP"	"ADMIYURNBJHEKFOWSCXQGLVPZT"	0	9	10
"main"	101	"charlieConf "	" oneCued "	0	" right "	8	315	"M "	0	"R "	0	4	0	1	"WIBYNXUSTMVCAZKEOLJGQFHRDP"	"UTIGQDSNRWFCHKJYLEXMPVABOZ"	"JEHLKCASUYQZXTWFPVIMBGROND"	"HPMENWAUVFKBGRXYJZTOQSDILC"	"PEQLAOHRMIJNUVGXWYSCBDFKZT"	"DBHALGUNKJWXFVRTQZMOICESYP"	"HQYVKDABIJCPWZTEFSRLMXONGU"	"JWHLEKCXRTDFYUOQBAMSNZGIVP"	0	7	8
"main"	105	"charlieConf "	" oneCued "	0	" right "	8	225	"O "	0	"H "	0	3	0	1	"TXVYUNSEBMQHRDIZAKOGLWFJCP"	"ASYFCHZWBEXOVJNDPLMQKUTGRI"	"IJMTFAUXYPHRWKBQOGLDCNZVSE"	"ITLPKAXJEFHOZQVDGRWYBNMSCU"	"UWYNXZSPJRTFLEGBIVQCHOAMDK"	"RHOBGQJUCMNPDVEIFAZTYWXLSK"	"IZCNLAQEKUFSDGBVOTJWMPRHXY"	"SHLIFOYXKRNGWVETMUQABJDPCZ"	0	10	11
"main"	106	"charlieConf "	" oneCued "	0	" right "	8	225	"T "	2	"M "	0	1	0	1	"JKCTUGIMVSNLYHXFBPOREDQAZW"	"LJEZNIBMTCSXYQFUWROPGHAKVD"	"NZLJKWSGIYDQAOTCXHBFPRUMVE"	"IBGZMTPJQKXNWCYUFHERLVADOS"	"NOFRDBHKWXGYITAQLSCMVZJUEP"	"LHIPBCZQVWRFSKUOMNXJTGEADY"	"PEBLRIVUAQCTMWKGHNZXOFJSYD"	"HDJEBQZCFVXNOIRYPGMTKLSAWU"	0	7	8
"main"	107	"charlieConf "	" oneCued "	0	" right "	8	45	"S "	0	"S "	1	2	0	0	"OFZELCWNDVGRHKXABYPMTIUSQJ"	"ROXCPQUEMLDKHBTVSFGNAYWIZJ"	"NLTYBMAIKSRUEDXQCZGVPJWOFH"	"XOCUSRJMBLTVQKZFHNIDWPEAGY"	"VXIZETUDCMFGHKBWRAPNQSLYOJ"	"RNTSGCBZKXFWVUHDIYQJMEPOLA"	"KRYXHLMNZDJQOTWIBGSAPUEFVC"	"CFZMAGVYIDKXPEWJNTOHRUQSBL"	0	9	9
"main"	108	"charlieConf "	" oneCued "	0	" right "	8	90	"U "	0	"F "	0	4	0	1	"XILZWHBKFJSUETQNGRADPYOCVM"	"HDWSQXYTMRBEVKPCFIOAULZGNJ"	"RLFVUWGQESBNCOIDATYXHKMPZJ"	"SNQJOCXYWHFITPURKMVEZBDALG"	"VJTKOHADENFUSBIXCPLMWYZRQG"	"PINFAUSWZYMRKDHVJXLBQOCGTE"	"REDQIMHWJYBKLATPFNOVCSUZXG"	"CBUJESZKVOTQYGDIAFNRMLWXHP"	0	10	11
"main"	113	"charlieConf "	" oneCued "	0	" right "	8	45	"E "	0	"I "	0	7	0	1	"TFCVPQODKJBXGSULNHAIZYWMER"	"VIGWRYBZTHXSPNDOMUJCFQEALK"	"ZYNLMPUECSFJWIXAGDTQBHRKVO"	"XUEAMFBHRZCTDOSWGLNPKVJQYI"	"AQHREMUDKBNTXSWOYGFPZLCVIJ"	"QDCEUHRJZBSWOIMPVANFTLKXYG"	"TBXRCNDVEIHKPQUFMJOWSGLYAZ"	"GZNFWOCIEADXQHYVRBKUPJMLST"	0	7	8
